filesize	SEQ_SAMPLE
1057419253	WT_H_F1_a_2_T1_SC_5FC_50estra
811788025	WT_H_F1_a_2_T1_SC_5FC
714586481	WT_H_F1_a_2_T1_SC
884060222	WT_H_F1_a_2_T2_SC_5FC_12.5estra
1009989410	WT_H_F1_a_2_T2_SC_5FC_50estra
793985379	WT_H_F1_a_2_T2_SC_5FC
1124507814	WT_H_F1_a_2_T2_SC
873616001	WT_H_F1_a_r1_T0_SC_5FC_12.5estra
873616001	WT_H_F1_a_r1_T0_SC_5FC_50estra
873616001	WT_H_F1_a_r1_T0_SC_5FC
873616001	WT_H_F1_a_r1_T0_SC
593215218	WT_H_F1_a_r2_T0_SC_5FC_12.5estra
593215218	WT_H_F1_a_r2_T0_SC_5FC_50estra
593215218	WT_H_F1_a_r2_T0_SC_5FC
593215218	WT_H_F1_a_r2_T0_SC
848444674	WT_H_F2_a_1_T1_SC_5FC_12.5estra
1127964545	WT_H_F2_a_1_T1_SC_5FC_50estra
1203536388	WT_H_F2_a_1_T1_SC_5FC
941060317	WT_H_F2_a_1_T1_SC
1135727687	WT_H_F2_a_1_T2_SC_5FC_12.5estra
1341443956	WT_H_F2_a_1_T2_SC_5FC_50estra
816146069	WT_H_F2_a_1_T2_SC_5FC
1170232464	WT_H_F2_a_1_T2_SC
880907953	WT_H_F2_a_2_T1_SC_5FC_12.5estra
317395799	WT_H_F2_a_2_T1_SC_5FC_50estra
1553457311	WT_H_F2_a_2_T1_SC_5FC
1297876295	WT_H_F2_a_2_T1_SC
395306969	WT_H_F2_a_2_T2_SC_5FC_12.5estra
616244762	WT_H_F2_a_2_T2_SC_5FC_50estra
340600218	WT_H_F2_a_2_T2_SC_5FC
1002143725	WT_H_F2_a_2_T2_SC
778771199	WT_H_F2_a_r1_T0_SC_5FC_12.5estra
778771199	WT_H_F2_a_r1_T0_SC_5FC_50estra
778771199	WT_H_F2_a_r1_T0_SC_5FC
778771199	WT_H_F2_a_r1_T0_SC
1171518524	WT_H_F2_a_r2_T0_SC_5FC_12.5estra
1171518524	WT_H_F2_a_r2_T0_SC_5FC_50estra
1171518524	WT_H_F2_a_r2_T0_SC_5FC
1171518524	WT_H_F2_a_r2_T0_SC
971546989	WT_N_F1_alpha_1_T1_SC_5FC_12.5estra
1028566287	WT_N_F1_alpha_1_T1_SC_5FC_50estra
1019494654	WT_N_F1_alpha_1_T1_SC_5FC
853943011	WT_N_F1_alpha_1_T1_SC
786262580	WT_N_F1_alpha_1_T2_SC_5FC_12.5estra
913270541	WT_N_F1_alpha_1_T2_SC_5FC_50estra
762658425	WT_N_F1_alpha_1_T2_SC_5FC
1052569655	WT_N_F1_alpha_1_T2_SC
1031540257	WT_N_F1_alpha_2_T1_SC_5FC_12.5estra
970404300	WT_N_F1_alpha_2_T1_SC_5FC_50estra
793984887	WT_N_F1_alpha_2_T1_SC_5FC
657648396	WT_N_F1_alpha_2_T1_SC
760371903	WT_N_F1_alpha_2_T2_SC_5FC_12.5estra
