filesize	Sample_name	read
365175658	E64V_H_F2_a_r1_T0_SC	R2
320295919	E64V_H_F2_a_r2_T0_SC_5FC_12.5estra	R1
327301188	E64V_H_F2_a_r2_T0_SC_5FC_12.5estra	R2
320295919	E64V_H_F2_a_r2_T0_SC_5FC_50estra	R1
327301188	E64V_H_F2_a_r2_T0_SC_5FC_50estra	R2
320295919	E64V_H_F2_a_r2_T0_SC_5FC	R1
327301188	E64V_H_F2_a_r2_T0_SC_5FC	R2
320295919	E64V_H_F2_a_r2_T0_SC	R1
327301188	E64V_H_F2_a_r2_T0_SC	R2
344960754	E64V_N_F1_alpha_1_T1_SC_5FC_12.5estra	R1
397338511	E64V_N_F1_alpha_1_T1_SC_5FC_12.5estra	R2
366393433	E64V_N_F1_alpha_1_T1_SC_5FC_50estra	R1
463924752	E64V_N_F1_alpha_1_T1_SC_5FC_50estra	R2
422001680	E64V_N_F1_alpha_1_T1_SC_5FC	R1
470729505	E64V_N_F1_alpha_1_T1_SC_5FC	R2
295518594	E64V_N_F1_alpha_1_T1_SC	R1
349478895	E64V_N_F1_alpha_1_T1_SC	R2
279580536	E64V_N_F1_alpha_1_T2_SC_5FC_12.5estra	R1
367738755	E64V_N_F1_alpha_1_T2_SC_5FC_12.5estra	R2
350343465	E64V_N_F1_alpha_1_T2_SC_5FC_50estra	R1
439724393	E64V_N_F1_alpha_1_T2_SC_5FC_50estra	R2
298507570	E64V_N_F1_alpha_1_T2_SC_5FC	R1
369126632	E64V_N_F1_alpha_1_T2_SC_5FC	R2
384038761	E64V_N_F1_alpha_1_T2_SC	R1
480512960	E64V_N_F1_alpha_1_T2_SC	R2
336669466	E64V_N_F1_alpha_2_T1_SC_5FC_12.5estra	R1
399978162	E64V_N_F1_alpha_2_T1_SC_5FC_12.5estra	R2
372639518	E64V_N_F1_alpha_2_T1_SC_5FC_50estra	R1
496171466	E64V_N_F1_alpha_2_T1_SC_5FC_50estra	R2
408277849	E64V_N_F1_alpha_2_T1_SC_5FC	R1
502646504	E64V_N_F1_alpha_2_T1_SC_5FC	R2
305767216	E64V_N_F1_alpha_2_T1_SC	R1
399558963	E64V_N_F1_alpha_2_T1_SC	R2
303984016	E64V_N_F1_alpha_2_T2_SC_5FC_12.5estra	R1
387488443	E64V_N_F1_alpha_2_T2_SC_5FC_12.5estra	R2
361266268	E64V_N_F1_alpha_2_T2_SC_5FC_50estra	R1
430338016	E64V_N_F1_alpha_2_T2_SC_5FC_50estra	R2
284237830	E64V_N_F1_alpha_2_T2_SC_5FC	R1
321847554	E64V_N_F1_alpha_2_T2_SC_5FC	R2
369716246	E64V_N_F1_alpha_2_T2_SC	R1
490192477	E64V_N_F1_alpha_2_T2_SC	R2
351733661	E64V_N_F1_alpha_r1_T0_SC_5FC_12.5estra	R1
387799910	E64V_N_F1_alpha_r1_T0_SC_5FC_12.5estra	R2
351733661	E64V_N_F1_alpha_r1_T0_SC_5FC_50estra	R1
387799910	E64V_N_F1_alpha_r1_T0_SC_5FC_50estra	R2
351733661	E64V_N_F1_alpha_r1_T0_SC_5FC	R1
387799910	E64V_N_F1_alpha_r1_T0_SC_5FC	R2
351733661	E64V_N_F1_alpha_r1_T0_SC	R1
387799910	E64V_N_F1_alpha_r1_T0_SC	R2
334617468	E64V_N_F1_alpha_r2_T0_SC_5FC_12.5estra	R1
408230090	E64V_N_F1_alpha_r2_T0_SC_5FC_12.5estra	R2
334617468	E64V_N_F1_alpha_r2_T0_SC_5FC_50estra	R1
408230090	E64V_N_F1_alpha_r2_T0_SC_5FC_50estra	R2
334617468	E64V_N_F1_alpha_r2_T0_SC_5FC	R1
408230090	E64V_N_F1_alpha_r2_T0_SC_5FC	R2
334617468	E64V_N_F1_alpha_r2_T0_SC	R1
408230090	E64V_N_F1_alpha_r2_T0_SC	R2
360149320	E64V_N_F2_alpha_1_T1_SC_5FC_12.5estra	R1
362783742	E64V_N_F2_alpha_1_T1_SC_5FC_12.5estra	R2
378540873	E64V_N_F2_alpha_1_T1_SC_5FC_50estra	R1
414630257	E64V_N_F2_alpha_1_T1_SC_5FC_50estra	R2
558897426	E64V_N_F2_alpha_1_T1_SC_5FC	R1
625585170	E64V_N_F2_alpha_1_T1_SC_5FC	R2
506717463	E64V_N_F2_alpha_1_T1_SC	R1
546400194	E64V_N_F2_alpha_1_T1_SC	R2
519312113	E64V_N_F2_alpha_1_T2_SC_5FC_12.5estra	R1
531790166	E64V_N_F2_alpha_1_T2_SC_5FC_12.5estra	R2
556675280	E64V_N_F2_alpha_1_T2_SC_5FC_50estra	R1
593156249	E64V_N_F2_alpha_1_T2_SC_5FC_50estra	R2
486106478	E64V_N_F2_alpha_1_T2_SC_5FC	R1
541793133	E64V_N_F2_alpha_1_T2_SC_5FC	R2
385964482	E64V_N_F2_alpha_1_T2_SC	R1
419601034	E64V_N_F2_alpha_1_T2_SC	R2
333486045	E64V_N_F2_alpha_2_T1_SC_5FC_12.5estra	R1
341939234	E64V_N_F2_alpha_2_T1_SC_5FC_12.5estra	R2
358978153	E64V_N_F2_alpha_2_T1_SC_5FC_50estra	R1
386269113	E64V_N_F2_alpha_2_T1_SC_5FC_50estra	R2
395700740	E64V_N_F2_alpha_2_T1_SC_5FC	R1
432782214	E64V_N_F2_alpha_2_T1_SC_5FC	R2
374940458	E64V_N_F2_alpha_2_T1_SC	R1
395666928	E64V_N_F2_alpha_2_T1_SC	R2
196778975	E64V_N_F2_alpha_2_T2_SC_5FC_12.5estra	R1
197246390	E64V_N_F2_alpha_2_T2_SC_5FC_12.5estra	R2
249464361	E64V_N_F2_alpha_2_T2_SC_5FC_50estra	R1
271180222	E64V_N_F2_alpha_2_T2_SC_5FC_50estra	R2
199638486	E64V_N_F2_alpha_2_T2_SC_5FC	R1
214282878	E64V_N_F2_alpha_2_T2_SC_5FC	R2
373380071	E64V_N_F2_alpha_2_T2_SC	R1
403311522	E64V_N_F2_alpha_2_T2_SC	R2
496656699	E64V_N_F2_alpha_r1_T0_SC_5FC_12.5estra	R1
567371872	E64V_N_F2_alpha_r1_T0_SC_5FC_12.5estra	R2
496656699	E64V_N_F2_alpha_r1_T0_SC_5FC_50estra	R1
567371872	E64V_N_F2_alpha_r1_T0_SC_5FC_50estra	R2
496656699	E64V_N_F2_alpha_r1_T0_SC_5FC	R1
567371872	E64V_N_F2_alpha_r1_T0_SC_5FC	R2
496656699	E64V_N_F2_alpha_r1_T0_SC	R1
567371872	E64V_N_F2_alpha_r1_T0_SC	R2
427316349	E64V_N_F2_alpha_r2_T0_SC_5FC_12.5estra	R1
465188396	E64V_N_F2_alpha_r2_T0_SC_5FC_12.5estra	R2
427316349	E64V_N_F2_alpha_r2_T0_SC_5FC_50estra	R1
465188396	E64V_N_F2_alpha_r2_T0_SC_5FC_50estra	R2
427316349	E64V_N_F2_alpha_r2_T0_SC_5FC	R1
465188396	E64V_N_F2_alpha_r2_T0_SC_5FC	R2
427316349	E64V_N_F2_alpha_r2_T0_SC	R1
465188396	E64V_N_F2_alpha_r2_T0_SC	R2
412673232	WT_H_F1_a_1_T1_SC_5FC_12.5estra	R1
468554339	WT_H_F1_a_1_T1_SC_5FC_12.5estra	R2
368401369	WT_H_F1_a_1_T1_SC_5FC_50estra	R1
370946494	WT_H_F1_a_1_T1_SC_5FC_50estra	R2
396339578	WT_H_F1_a_1_T1_SC_5FC	R1
506350165	WT_H_F1_a_1_T1_SC_5FC	R2
328957340	WT_H_F1_a_1_T1_SC	R1
465321965	WT_H_F1_a_1_T1_SC	R2
284718068	WT_H_F1_a_1_T2_SC_5FC_12.5estra	R1
429215639	WT_H_F1_a_1_T2_SC_5FC_12.5estra	R2
345370873	WT_H_F1_a_1_T2_SC_5FC_50estra	R1
476011291	WT_H_F1_a_1_T2_SC_5FC_50estra	R2
289207585	WT_H_F1_a_1_T2_SC_5FC	R1
394429473	WT_H_F1_a_1_T2_SC_5FC	R2
445291008	WT_H_F1_a_1_T2_SC	R1
500025491	WT_H_F1_a_1_T2_SC	R2
414457554	WT_H_F1_a_2_T1_SC_5FC_12.5estra	R1
528609242	WT_H_F1_a_2_T1_SC_5FC_12.5estra	R2
404589593	WT_H_F1_a_2_T1_SC_5FC_50estra	R1
454426177	WT_H_F1_a_2_T1_SC_5FC_50estra	R2
295416983	WT_H_F1_a_2_T1_SC_5FC	R1
318800286	WT_H_F1_a_2_T1_SC_5FC	R2
260639758	WT_H_F1_a_2_T1_SC	R1
302907387	WT_H_F1_a_2_T1_SC	R2
295843750	WT_H_F1_a_2_T2_SC_5FC_12.5estra	R1
374571366	WT_H_F1_a_2_T2_SC_5FC_12.5estra	R2
370127184	WT_H_F1_a_2_T2_SC_5FC_50estra	R1
423265922	WT_H_F1_a_2_T2_SC_5FC_50estra	R2
296515704	WT_H_F1_a_2_T2_SC_5FC	R1
336180163	WT_H_F1_a_2_T2_SC_5FC	R2
414720227	WT_H_F1_a_2_T2_SC	R1
489067576	WT_H_F1_a_2_T2_SC	R2
321985994	WT_H_F1_a_r1_T0_SC_5FC_12.5estra	R1
410643270	WT_H_F1_a_r1_T0_SC_5FC_12.5estra	R2
321985994	WT_H_F1_a_r1_T0_SC_5FC_50estra	R1
410643270	WT_H_F1_a_r1_T0_SC_5FC_50estra	R2
321985994	WT_H_F1_a_r1_T0_SC_5FC	R1
410643270	WT_H_F1_a_r1_T0_SC_5FC	R2
321985994	WT_H_F1_a_r1_T0_SC	R1
410643270	WT_H_F1_a_r1_T0_SC	R2
220628728	WT_H_F1_a_r2_T0_SC_5FC_12.5estra	R1
233076191	WT_H_F1_a_r2_T0_SC_5FC_12.5estra	R2
220628728	WT_H_F1_a_r2_T0_SC_5FC_50estra	R1
233076191	WT_H_F1_a_r2_T0_SC_5FC_50estra	R2
220628728	WT_H_F1_a_r2_T0_SC_5FC	R1
233076191	WT_H_F1_a_r2_T0_SC_5FC	R2
220628728	WT_H_F1_a_r2_T0_SC	R1
233076191	WT_H_F1_a_r2_T0_SC	R2
299120200	WT_H_F2_a_1_T1_SC_5FC_12.5estra	R1
308342712	WT_H_F2_a_1_T1_SC_5FC_12.5estra	R2
394746847	WT_H_F2_a_1_T1_SC_5FC_50estra	R1
369243128	WT_H_F2_a_1_T1_SC_5FC_50estra	R2
406058852	WT_H_F2_a_1_T1_SC_5FC	R1
392304954	WT_H_F2_a_1_T1_SC_5FC	R2
317147097	WT_H_F2_a_1_T1_SC	R1
304599887	WT_H_F2_a_1_T1_SC	R2
395936610	WT_H_F2_a_1_T2_SC_5FC_12.5estra	R1
405431631	WT_H_F2_a_1_T2_SC_5FC_12.5estra	R2
466703074	WT_H_F2_a_1_T2_SC_5FC_50estra	R1
495026790	WT_H_F2_a_1_T2_SC_5FC_50estra	R2
327918109	WT_H_F2_a_1_T2_SC_5FC	R1
326294370	WT_H_F2_a_1_T2_SC_5FC	R2
415111853	WT_H_F2_a_1_T2_SC	R1
443404442	WT_H_F2_a_1_T2_SC	R2
306946558	WT_H_F2_a_2_T1_SC_5FC_12.5estra	R1
293027994	WT_H_F2_a_2_T1_SC_5FC_12.5estra	R2
131886022	WT_H_F2_a_2_T1_SC_5FC_50estra	R1
124513229	WT_H_F2_a_2_T1_SC_5FC_50estra	R2
551531014	WT_H_F2_a_2_T1_SC_5FC	R1
605592913	WT_H_F2_a_2_T1_SC_5FC	R2
454398341	WT_H_F2_a_2_T1_SC	R1
485553749	WT_H_F2_a_2_T1_SC	R2
138860091	WT_H_F2_a_2_T2_SC_5FC_12.5estra	R1
127478872	WT_H_F2_a_2_T2_SC_5FC_12.5estra	R2
218219760	WT_H_F2_a_2_T2_SC_5FC_50estra	R1
201151248	WT_H_F2_a_2_T2_SC_5FC_50estra	R2
174324821	WT_H_F2_a_2_T2_SC_5FC	R1
173026963	WT_H_F2_a_2_T2_SC_5FC	R2
348884430	WT_H_F2_a_2_T2_SC	R1
342661861	WT_H_F2_a_2_T2_SC	R2
290505339	WT_H_F2_a_r1_T0_SC_5FC_12.5estra	R1
284038118	WT_H_F2_a_r1_T0_SC_5FC_12.5estra	R2
290505339	WT_H_F2_a_r1_T0_SC_5FC_50estra	R1
284038118	WT_H_F2_a_r1_T0_SC_5FC_50estra	R2
290505339	WT_H_F2_a_r1_T0_SC_5FC	R1
284038118	WT_H_F2_a_r1_T0_SC_5FC	R2
290505339	WT_H_F2_a_r1_T0_SC	R1
284038118	WT_H_F2_a_r1_T0_SC	R2
413073264	WT_H_F2_a_r2_T0_SC_5FC_12.5estra	R1
421421680	WT_H_F2_a_r2_T0_SC_5FC_12.5estra	R2
413073264	WT_H_F2_a_r2_T0_SC_5FC_50estra	R1
421421680	WT_H_F2_a_r2_T0_SC_5FC_50estra	R2
413073264	WT_H_F2_a_r2_T0_SC_5FC	R1
421421680	WT_H_F2_a_r2_T0_SC_5FC	R2
413073264	WT_H_F2_a_r2_T0_SC	R1
421421680	WT_H_F2_a_r2_T0_SC	R2
367521927	WT_N_F1_alpha_1_T1_SC_5FC_12.5estra	R1
405848170	WT_N_F1_alpha_1_T1_SC_5FC_12.5estra	R2
380964721	WT_N_F1_alpha_1_T1_SC_5FC_50estra	R1
442800152	WT_N_F1_alpha_1_T1_SC_5FC_50estra	R2
384914344	WT_N_F1_alpha_1_T1_SC_5FC	R1
489420550	WT_N_F1_alpha_1_T1_SC_5FC	R2
314885051	WT_N_F1_alpha_1_T1_SC	R1
420988830	WT_N_F1_alpha_1_T1_SC	R2
277858483	WT_N_F1_alpha_1_T2_SC_5FC_12.5estra	R1
401272225	WT_N_F1_alpha_1_T2_SC_5FC_12.5estra	R2
334426350	WT_N_F1_alpha_1_T2_SC_5FC_50estra	R1
